iter	Passed	Remaining
415	3255	4569
416	3264	4564
417	3274	4559
418	3285	4555
419	3294	4549
420	3307	4548
421	3318	4544
422	3327	4539
423	3338	4534
424	3349	4531
425	3359	4527
426	3371	4524
427	3381	4519
428	3391	4513
429	3402	4509
430	3412	4505
431	3422	4499
432	3430	4491
433	3437	4483
434	3446	4475
435	3454	4468
436	3462	4461
437	3471	4453
438	3481	4448
439	3491	4443
440	3500	4437
441	3510	4431
442	3519	4425
443	3529	4419
444	3537	4411
445	3546	4404
446	3555	4398
447	3564	4391
448	3572	4384
449	3580	4376
450	3589	4369
451	3597	4361
452	3606	4354
453	3614	4346
454	3622	4338
455	3629	4329
456	3635	4319
457	3643	4311
458	3650	4302
459	3657	4293
460	3664	4284
461	3671	4274
462	3678	4265
463	3684	4256
464	3691	4247
465	3698	4238
466	3705	4229
467	3713	4221
468	3721	4213
469	3728	4204
470	3736	4197
471	3743	4187
472	3750	4179
473	3758	4170
474	3765	4162
475	3772	4153
476	3780	4144
477	3787	4136
478	3795	4128
479	3802	4119
480	3810	4111
481	3817	4102
482	3825	4094
483	3833	4086
484	3840	4077
485	3847	4068
486	3854	4059
487	3861	4050
488	3867	4041
489	3875	4033
490	3882	4025
491	3890	4016
492	3896	4007
493	3903	3998
494	3910	3989
495	3917	3981
496	3925	3973
497	3934	3965
498	3941	3957
499	3949	3949
500	3956	3940
501	3964	3932
502	3971	3924
503	3978	3915
504	3986	3907
505	3993	3898
506	4000	3890
507	4007	3881
508	4016	3874
509	4024	3866
510	4032	3859
511	4039	3850
512	4046	3841
513	4053	3832
514	4060	3824
515	4067	3815
516	4076	3808
517	4084	3800
518	4093	3793
519	4102	3786
520	4111	3779
521	4120	3773
522	4130	3767
523	4138	3759
524	4147	3752
525	4156	3745
526	4165	3738
527	4173	3730
528	4181	3723
529	4191	3716
530	4199	3708
531	4208	3702
532	4219	3696
533	4228	3690
534	4236	3682
535	4244	3673
536	4251	3665
537	4260	3658
538	4268	3650
539	4276	3642
540	4284	3635
541	4292	3627
542	4300	3619
543	4308	3611
544	4317	3604
545	4325	3596
546	4335	3590
547	4343	3582
548	4352	3575
549	4359	3567
550	4369	3560
551	4377	3552
552	4386	3545
553	4395	3538
554	4405	3532
555	4415	3525
556	4425	3519
557	4436	3514
558	4446	3507
559	4456	3501
560	4465	3494
561	4475	3487
562	4484	3480
563	4493	3473
564	4503	3467
565	4512	3460
566	4522	3453
567	4531	3446
568	4541	3440
569	4551	3433
570	4559	3425
571	4568	3418
572	4576	3410
573	4585	3402
574	4593	3395
575	4601	3387
576	4609	3379
577	4618	3371
578	4626	3364
579	4635	3356
580	4643	3348
581	4652	3341
582	4662	3334
583	4670	3326
584	4678	3319
585	4687	3311
586	4695	3303
587	4702	3295
